Numero di iscrizione all'albo,Denominazione,Data iscrizione,Numero delibera,Data cessazione,Municipalità,Attività,Scopo / intenti,Indirizzo,Email,Sito web,Presidente,Data domanda,Protocollo domanda,Telefono,Fiscale codice,Iva partita
660,CIRCOLO ASSOCIATIVO CULTURALE RICREATIVO BENEFICO,06-10-92,168,,MESTRE CARPENEDO,Cultura,"Promuovere e sviluppare la conoscenza dellopera, musicale, letteraria e della vita di Richard Wagner.",Castello 5313 30122 - Venezia,,,Pugliese Giuseppe,27-02-92,PG/1992/27068,,94019570277,0
661,CLUB UNIONE SPORTIVA REMIERA FRANCESCANA,06-10-92,168,,VENEZIA MURANO BURANO,Sport,"Contribuire alla partecipazione di manifestazioni sociali, culturali e benefiche.",Via Tacito 6 30173 - Mestre - Venezia,,,Mazzucco Giovanni,27-02-92,PG/1992/26927,,,0
662,SOCIETÀ VIRTUS BOCCIOFILA MURANO,06-10-92,168,,VENEZIA MURANO BURANO,Sport,Iniziative per manifestazioni sportive e culturali.,Castello 2737/F 30122 - Venezia,,,Orio Vittorio,27-02-92,PG/1992/26811,415229527,94002490277,
663,SOCIETÀ SPORTIVA VIRTUS PATTINAGGIO MURANO,06-10-92,168,,VENEZIA MURANO BURANO,Sport,Sviluppo del gioco delle bocce.,Campo Sportivo - Sacca San Mattia 30141 - Murano - Venezia,virtusbocciofilamurano@gmail.com,,Mandruzzato Gianfranco,27-02-92,PG/1992/26815,41739294,,94002600271
664,CIRCOLO MOTONAUTICO VENEZIANO,06-10-92,168,,VENEZIA MURANO BURANO,Sport,"Esercitare e diffondere il pattinaggio a rotelle , specialità corsa hockey su pista, artistico.",Calle Corona 15/5 30141 - Murano - Venezia,,,Miele Anna Maria,27-02-92,PG/1992/26816,,94025740278,3574530279
665,ASSOCIAZIONE VE SPORT PROMOZIONE SPORTIVA,06-10-92,168,13-01-14,VENEZIA MURANO BURANO,Sport,"Inserimento degli sports motonautici, sci nautico.",San Marco 1364 30124 - Venezia,,,Vio Paolo,27-02-92,PG/1992/26826,415222692,80015290275,3282500275
666,ASSOCIAZIONE NAZIONALE MARINAI D'ITALIA,06-10-92,,,VENEZIA MURANO BURANO,Solidarietà / Promozione sociale,,,,,,,,,,
667,CENTRO D'ARTE VENEZIA E L'EUROPA,06-10-92,168,,VENEZIA MURANO BURANO,Cultura,"Tenere vivo il culto della Patria, il senso dellonore e lattaccamento alla Marina Militare.",Castello - Ca di Dio 2180/A 30122 - Venezia,,,Denaro Giovanni,27-02-92,PG/1992/26835,415289800,,0
668,COOPERATIVA LATTERIE VENETE A.R.L.,06-10-92,168,,VENEZIA MURANO BURANO,Solidarietà / Promozione sociale,"Difesa degli interessi generali dellarte e degli artisti, culturale, economico, sociale e morale.",Santa Croce 1729/A Studio Degan 30135 - Venezia,,,Degan Ferdinando,21-04-92,PG/1992/54038,4135501,,94008460274
669,PGS HYADES PALLAVOLO KARATE - ASSOCIAZIONE SPORTIVA DILETTANTISTICA,06-10-92,168,,LIDO PELLESTRINA,Sport,La società ha i seguenti scopi: assumere ed esercitare le funzioni di commissionare per conto dei soci  lapprovvigionamento delle merci che formano loggetto del commercio dei soci.,Dorsoduro 3297/A 30123 - Venezia,,,Spanio Giovanni,27-02-92,PG/1992/26846,415236955,,271470270
670,CENTRO SPORTIVO PALLACANESTRO LIDO,06-10-92,168,,LIDO PELLESTRINA,Sport,"Sviluppare le dimensioni educative, culturali e sociali dellattività sportiva.",Via Malamocco 14 30126 - Lido - Venezia,kugy48yahoo.it,,Cavalli Giovanni,27-02-92,PG/1992/26873,3282255000,94013900272,
671,ASSOCIAZIONE SCUOLA MATERNA GIOVANNI XXIII,06-10-92,168,,VENEZIA MURANO BURANO,Cultura,Propagandare la pallacanestro.,Via Corfù 10 30126 - Lido - Venezia,,,Largo Stefano,27-02-92,PG/1992/26946,,80013160272,1899790271
672,ASSOCIAZIONE REMIERA VOGAEPARA DI BURANO,06-10-92,168,,VENEZIA MURANO BURANO,Sport,Lassociazione ha i seguenti scopi: istituire la scuola materna che per lo svolgimento della sua azione educativa assume un indirizzo ispirato ad una visione cristiana della vita.,Via Chiesa 2/B - Isola SantErasmo 30141 - Murano - Venezia,,,Vianello Franco,27-02-92,PG/1992/26962,,,1478690272
673,CONSORZIO VENEORO,06-10-92,168,,MESTRE CARPENEDO,Cultura,Diffondere la disciplina sportiva della voga veneta.,Via Terranova 233 30142 - Burano - Venezia,remiera@vogaepara.it,,Zane Alessio,27-02-92,PG/1992/26969,41735018,94003470278,
674,GRAN FRATELLANZA UNIVERSALE SERGE RAYNAUD DE LA FERRIERE-LINEA SOLARE-CENTRO CULTURALE NUOVA ERA,06-10-92,168,,VENEZIA MURANO BURANO,Solidarietà / Promozione sociale,"Consolidare limmagine della qualità dei prodotti di oreficeria, argenteria e orologeria.",Via Torre Belfredo 81/D c/o C.G.I.A. 30174 - Mestre - Venezia,,,Perinato Antonino,27-02-92,PG/1992/26742,,,2332030275
675,ASSOCIAZIONE CULTURALE TOTALL RECALL ASSOCIATION,06-10-92,168,,VENEZIA MURANO BURANO,Cultura,"Promozione di attività di studio per varie discipline di carattere filosofico, scientifico, artistico, umanitario e culturale in genere.",Cannaregio 2293 30121 - Venezia,,,Iudicone Adele,27-02-92,PG/1992/26732,,94010410275,0
676,ASSOCIAZIONE TERRAGLIO GIOVANE,06-10-92,168,,MESTRE CARPENEDO,Cultura,Diffusione e promozione della musica in ogni sua forma di espressione.,Castello 776 c/o Scanferla Marcello 30122 - Venezia,,,Scanferla Marcello,28-02-92,PG/1992/27803,415238706,,94019730277
677,ASSOCIAZIONE SPORTIVO CULTURALE GOMMONE LAGUNA CLUB,06-10-92,168,,FAVARO VENETO,Sport,Concretizzazione di attività ricreative e culturali.,Via Terraglio 43 c/o Centro Civico 30174 - Mestre - Venezia,,,Bertocco Luca,27-02-92,PG/1992/27062,41943505,90012300274,
678,ASSOCIAZIONE MOVIMENTO DI COOPERAZIONE EDUCATIVA GRUPPO TERRITORIALE DI VENEZIA-MESTRE,06-10-92,168,,CHIRIGNAGO ZELARINO,Solidarietà / Promozione sociale,Diffondere luso e limpiego del gommone.,Via Monte Abetone 20 30173 - Favaro Veneto - Venezia,glcv1979@libero.it,,Tasin Renzo,27-02-92,PG/1992/27060,,82015790270,0
679,ASSOCIAZIONE STORI A MESTRE ASS. PER LA STORIA DI MESTRE E DEL SUO TERRITORIO,06-10-92,168,,MESTRE CARPENEDO,Cultura,Diffondere e organizzare la ricerca didattica e metodologica.,Via Ciardi 41 30174 - Mestre - Venezia,mce-ve@virgilio.it,,Nerina Vretenar,27-02-92,PG/1992/27050,41952362,90031650279,
680,GRUPPO ANZIANI AUTOGESTITO IL RITROVO DI S.GIUSEPPE,06-10-92,168,,MESTRE CARPENEDO,Solidarietà / Promozione sociale,Organizzare attività culturali.,Via Ciardi 41 30173 - Mestre - Venezia,info@storiamestre.it,www.storiamestre.it,Pietro Brunello,27-02-92,PG/1992/27045,41940150,90024120272,
681,CORO FEMMINILE FANTASIA,06-10-92,168,07-10-13,MESTRE CARPENEDO,Cultura,Prevenire situazioni di isolamento e di emarginazione.,Viale San Marco 170 30173 - Mestre - Venezia,,,Della Puppa Giampaolo,27-02-92,PG/1992/27036,415317789,90028600279,
682,UDI - UNIONE DONNE IN ITALIA,06-10-92,,,MESTRE CARPENEDO,Cultura,,,,,,,,,,
683,ASSOCIAZIONE SPORTIVA CULTURALE EGILDA CECCHINI,06-10-92,168,,MESTRE CARPENEDO,Sport,Proseguire la ricerca di nuovi modi di essere donne e di nuove immagini che li rappresentino,Viale Garibaldi 155 30173 - Mestre - Venezia,,,Martignon Arianna,27-02-92,PG/1992/27054,,90134790279,0
684,"ASSOCIAZIONE AIRISASS. PER L'AMBIENTE, L'INIZIATIVA, LA RICERCA E INTERVENTI SOCIALI",06-10-92,168,,MARGHERA,Solidarietà / Promozione sociale,Promuovere iniziative sportive e manifestazioni culturali.,Via Guglielmo Oberdan 1/C 30173 - Mestre - Venezia,,,Zaja Carlo,27-02-92,PG/1992/27037,415346635,2522470273,0
685,ASSOCIAZIONE AMICI DELLA BICICLETTA,06-10-92,168,,MESTRE CARPENEDO,Cultura,"Ha finalità socio-culturali-ambientali con lo scopo di contribuire alla conoscenza, allo studio e allintervento per la valorizzazione ed il miglioramento dellarea Veneziana.",Via Trieste 82 30175 - Marghera - Venezia,,,Bobbo Sergio,27-02-92,PG/1992/27018,,,2452840271
686,GRUPPO SPORTIVO MESTRE 80,06-10-92,168,,MESTRE CARPENEDO,Sport,Diffondere luso della bicicletta come mezzo di trasporto alternativo.,Viale Venezia 7 30171 - Mestre - Venezia,,,Dalla Venezia Antonio,27-02-92,PG/1992/26966,,90029560274,
687,MOVIMENTO PER LA VITA DELLA PROVINCIA DI VENEZIA,06-10-92,168,,MESTRE CARPENEDO,Solidarietà / Promozione sociale,Promuovere movimento sportivo.,Via Cesare Cecchini 15 30173 - Mestre - Venezia,,,Pinzoni Stefano,27-02-92,PG/1992/27009,415219711,90008730278,0
688,ASSOCIAZIONE SPORTIVA BASKET GAZZERA,06-10-92,168,24-04-18,CHIRIGNAGO ZELARINO,Sport,"Promuovere sia a livello individuale sia nellambito dei gruppi sociali organizzati, una mentalità aperta allaccoglienza ed alla protezione di ogni essere umano fin dal suo concepimento.",Via Altobello 7/B 30172 - Mestre - Venezia,mpv.ve@libero.it,,Bortolato Francesco,27-02-92,PG/1992/26958,41984656,90011800274,0
689,ASSOCIAZIONE CENTRO DI AIUTO ALLA VITA,06-10-92,,,CHIRIGNAGO ZELARINO,Solidarietà / Promozione sociale,,,,,,,,,,
690,ASSOCIAZIONE PROGETTO NOI,06-10-92,168,,MARGHERA,Solidarietà / Promozione sociale,Ha lo scopo di prevenire laborto volontario evitando che il dramma della decisione per la maternità o per laborto debba essere vissuto dalla donna in totale solitudine.,Via Altobello 9 30172 - Mestre - Venezia,,,Seno Pasquarosa,27-02-92,PG/1992/26955,41961381,90004150273,
691,SOCIETÀ BOCCIOFILA DEL PARCO CARPENEDO-BISSUOLA,06-10-92,168,,MESTRE CARPENEDO,Sport,Migliorare la qualità della vita allinterno della comunità locale.,Via del Bosco 33 30175 - Marghera - Venezia,,,Triaca Liliana,27-02-92,PG/1992/26984,415380507,94019720278,
692,ASSOCIAZIONE SPORTIVA TIRO A VOLO MARCO POLO,06-10-92,168,,FAVARO VENETO,Sport,Ha finalità prettamente sportive.,Via Casona Piazzale Sport Parco Albanese 30173 - Mestre - Venezia,,,Marchioli Luigi,27-02-92,PG/1992/27025,41615758,90020500279,
693,GRUPPO CULTURALE ALBINO LUCIANI,06-10-92,168,,CHIRIGNAGO ZELARINO,Cultura,Attività del tiro a volo,Località Fanello - Campalto 30173 - Favaro Veneto - Venezia,,,Forte Felice,27-02-92,PG/1992/26940,,2479030278,2479030278
694,ASSOCIAZIONE CULTURALE 25 APRILE,06-10-92,168,,VENEZIA MURANO BURANO,Cultura,Promuovere iniziative di carattere culturali.,Piazza San Giorgio 30174 - Mestre - Venezia,,,Bortolato Ivone,27-02-92,PG/1992/26948,,90026500273,
695,ASSOCIAZIONE CULTURALE VENEZIANA ASCUVE,06-10-92,168,,VENEZIA MURANO BURANO,Solidarietà / Promozione sociale,"Promuovere iniziative nel campo sociale, culturale, del tempo libero e dello sport.",Castello 3048 30122 - Venezia,,,Bedini Silvano,28-02-92,PG/1992/27509,,,0
696,GRUPPO ANZIANI AUTOGESTITO CASTELLO OVEST,06-10-92,168,,VENEZIA MURANO BURANO,Solidarietà / Promozione sociale,"Lassociazione si propone di favorire il dialogo, lincontro ed il confronto fra diverse generazioni, di promuovere una maggiore comprensione e comunicabilità sociale al fine di contrastare lisolamento e lemarginazione.",Dorsoduro 3499 30123 - Venezia,,,Bedini Silvano,28-02-92,PG/1992/27511,,94015170270,
697,SOCIETÀ VENEZIA ESTETICA SOMATICA SCRL,06-10-92,168,,VENEZIA MURANO BURANO,Cultura,"Combattere le forme di emarginazione ed isolamento attraverso attività ricreative, sociali e culturali.",Castello 5065/I 30122 - Venezia,,,Fasan Giorgio,28-02-92,PG/1992/27513,415222779,94018440274,
698,GARAV GRUPPO ACCADEMICO REGIONALE ACCONCIATORI VENETI,06-10-92,168,,VENEZIA MURANO BURANO,Cultura,"Formazione nel settore dellartigianato artistico, estetico, acconciatura e cura del corpo.",Cannaregio 3560 - Fondamenta Abazia 30121 - Venezia,,,Corrà Umberto,28-02-92,PG/1992/27516,41720991,0,1864450273
699,ASSOCIAZIONE SETTEMARI,06-10-92,168,,VENEZIA MURANO BURANO,Sport,"Tutelare e difendere larte dellacconciatura femminile, culturale e artistica.",Cannaregio 3560 - Fondamenta Abazia 30121 - Venezia,,,Dal Corso Gilberto,28-02-92,PG/1992/27517,,,0
700,SOCIETÀ CORALE BALDASSARE GALUPPI DI BURANO,06-10-92,168,,VENEZIA MURANO BURANO,Cultura,Diffondere la disciplina della voga veneta.,Cannaregio 4701 30121 - Venezia,,,Bozzola Enrico,28-02-92,PG/1992/27524,,,80015490271
701,CIRCOLO RICREATIVO LA QUERCIA,06-10-92,168,,VENEZIA MURANO BURANO,Cultura,Promuove lattività del gruppo corale.,San Martino Destra 485 30142 - Burano - Venezia,,,Dei Rossi Francesco,28-02-92,PG/1992/27618,,94003300277,
702,CIRCOLO BOCCIOFILO FORNARO FORTUNATO,06-10-92,168,,VENEZIA MURANO BURANO,Sport,Dare ai simpatizzanti del sestriere di Cannaregio la possibilità di incontrarsi e svolgere attività ricreativa e culturale.,Cannaregio 4008 30121 - Venezia,,,Furlan Adriano,28-02-92,PG/1992/27632,,,0
703,ASSOCIAZIONE SCUOLA DI MUSICA SAN MARCO,06-10-92,168,,MARGHERA,Cultura,Coordina e sviluppa il gioco delle bocce mantenendo lindirizzo sportivo e dilettantistico.,Giudecca - Ramo Corti Grandi 576 30133 - Venezia,,,Lucchesi Dante,28-02-92,PG/1992/27380,415287253,80010660274,925710279
704,SOCIETÀ CORO CAVALLINO,06-10-92,168,13-01-14,,Cultura,Promuove e propaganda lo studio della musica istituendo corsi per giovani.,Via degli Antoni 8 30175 - Marghera - Venezia,,,Penzo Renzo,28-02-92,PG/1992/27394,41990690,94015500278,
705,ASSOCIAZIONE CULTURALE DEDALO,06-10-92,,,VENEZIA MURANO BURANO,Cultura,,,,,,,,,,
706,ASSOCIAZIONE BANDA MUSICALE SANT'ERASMO,06-10-92,168,,VENEZIA MURANO BURANO,Cultura,"Promuove ed organizza attività culturali di carattere vario: musica, teatro, cinema.",Dorsoduro 2318 30123 - Venezia,,,Gallo Jacqueline,28-02-92,PG/1992/27415,415200541,0,2324700273
707,ASSOCIAZIONE AMICI DELLO SPORT DI SANT'ERASMO,06-10-92,168,,VENEZIA MURANO BURANO,Sport,Mantiene e promuove tutte le iniziative tradizionali dellisola di S.Erasmo.,Via Chiesa c/o Parrocchia Cristo Re 30141 - Murano - Venezia,,,Budoia Giuseppe,28-02-92,PG/1992/27450,,94006640273,
708,ASSOCIAZIONE CIRCOLO NAUTICO GENERALI,06-10-92,168,,VENEZIA MURANO BURANO,Sport,Promuove momenti di aggregazione ricreazione culturale e sportiva.,Via Chiesa c/o Parrocchia Cristo Re - Via Motte 11/B 30141 - Murano - Venezia,,,Smerghetto Francesco,28-02-92,PG/1992/27452,,,94019170276
709,ASSOCIAZIONE CULTURALE ITALO RUSSA DELLA REGIONE VENETO,06-10-92,168,,MESTRE CARPENEDO,Cultura,Promuove lattività remiera in tutte le forme oltre ad attività culturali tendenti al recupero delle antiche tradizioni veneziane.,Cannaregio 6304 Rio dei Mendicanti 30121 - Venezia,,,Paglia Alessandro,28-02-92,PG/1992/27467,415222213,94019600272,2715300279
710,SOCIETÀ BOCCIOFILA MALAMOCCO,06-10-92,168,,LIDO PELLESTRINA,Sport,"Promuove la conoscenza della lingua russa, tecnologia, folklore, ed arte sovietica. Promuove viaggi culturali in Russia.",Via Andrea Costa 14 30172 - Mestre - Venezia,,,Perdibon Gianemilio,28-02-92,PG/1992/27500,41986703,94018960271,
711,CENTRO STUDI TEOLOGICI GERMANO PATTARO,06-10-92,168,,VENEZIA MURANO BURANO,Solidarietà / Promozione sociale,Coordina e sviluppa il gioco delle bocce mantenendo inalterato lindirizzo dilettantistico e sportivo.,Via Alberoni 6 c/o Vezzà Giancarlo 30126 - Lido - Venezia,,,Pistorello Ilvano,28-02-92,PG/1992/27487,415262934,94003160275,0
712,SOCIETÀ BOCCIOFILA SAN SEBASTIANO,06-10-92,168,,VENEZIA MURANO BURANO,Sport,Tramanda lopera e gli studi di don Germano Pattaro.,San Marco 2760 Palazzo Bellavitis 30124 - Venezia,,,Bertoli Bruno,28-02-92,PG/1992/27476,415238673,94017450274,
713,ASSOCIAZIONE COMPAGNIA FILODRAMMATICA I GIOVANISSIMI,06-10-92,168,13-01-14,,Cultura,Coordina e sviluppa il gioco dlle bocce con indirizzo dilettantistico e sportivo.,Dorsoduro 2371 30123 - Venezia,s.sebastiano2371@libero.it,,Pietro Reis,28-02-92,PG/1992/27567,412750315,94005670271,0
714,GRUPPO SPORTIVO CAVALLINO,06-10-92,,13-01-14,,Sport,,,,,,,,,,
715,CIRCOLO CULTURALE CALIGOLA,06-10-92,,,MESTRE CARPENEDO,Cultura,,,,,,,,,,
716,ASSOCIAZIONE ARCHEOCLUB D'ITALIA - SEDE DI VENEZIA,06-10-92,168,,VENEZIA MURANO BURANO,Cultura,Promuove attività culturali di vario genere in special modo nel campo musicale.,Via Nazario Sauro 1/B 30171 - Mestre - Venezia,info@caligola.it,www.caligola.it,Bonicelli Valerio,28-02-92,PG/1992/27531,,,2256610276
717,FIDAPA FEDERAZIONE ITALIANA DONNE ARTI-PROFESSIONI SEZIONE DI VENEZIA,06-10-92,168,,VENEZIA MURANO BURANO,Cultura,Promuove la diffusione tra i cittadini ed in particolare tra i giovani linteresse per i beni culturali.,Cannaregio 1376/A 30121 - Venezia,,,Fazzini Gerolamo,28-02-92,PG/1992/27535,41715365,94014220274,
718,SOCIETÀ GINNASTICA VENEZIANA CASTELLO,06-10-92,168,,VENEZIA MURANO BURANO,Cultura,"Promuove coordina e sostiene le iniziative delle donne che operano nel campo delle arti, delle professioni e deglaffari.",Santa Croce 707 30135 - Venezia,,,Rizzi Maria Antonietta,28-02-92,PG/1992/27537,41717608,94022380276,
719,GRUPPO LIDENSE DI SCIENZE NATURALI GIORGIO COEN,06-10-92,168,,LIDO PELLESTRINA,Cultura,Promuove linsegnamento della ginnastica artistica nelleducazione sportiva dei bambini.,Palasport Arsenale 30122 - Venezia,,,Vianello Andrea,28-02-92,PG/1992/27540,415222669,94004850270,
720,ASSOCIAZIONE GRUPPO DI DANZA ANTICA JOHN GUTHRIE,06-10-92,168,,VENEZIA MURANO BURANO,Cultura,Incoraggia e diffonde lo studio delle scienze naturali con particolare riguardo alambiente naturale del Lido e del Veneto.,San Nicolò c/o Convento Rev.PP.Francescani 30126 - Lido - Venezia,,,Serrani Renato,28-02-92,PG/1992/27543,,94013240273,
721,GRUPPO OPERATORI LIDO,06-10-92,168,,LIDO PELLESTRINA,Cultura,Promuove lo sviluppo del patrimonio di conoscenze sulla danza antica.,Dorsoduro 3250 30123 - Venezia,,,Vianello Andrea,28-02-92,PG/1992/27794,,,0
722,COMITATO FESTEGGIAMENTI DI S.ERASMO,06-10-92,168,,VENEZIA MURANO BURANO,Cultura,"Organizza manifestazioni culturali, sportive, e sociali per il rilancio economico e sociale del Lido.",Piazzale La Fontaine 3 30126 - Lido - Venezia,,,Zerbini Giancarlo,21-04-92,PG/1992/54003,,,0
723,ASSOCIAZIONE QUNST - ISTITUTO DI CULTURA DEI LINGUAGGI ARTISTICI ED ESTETICI,06-10-92,168,,VENEZIA MURANO BURANO,Cultura,Promuove tra tutti glabitanti dellisola la partecipazione alle feste paesane.,Via Chiesa 30141 - Murano - Venezia,,,Nardin Franco,28-02-92,PG/1992/27755,,94003950279,
724,ASSOCIAZIONE VEGETARIANA ITALIANA AVI,06-10-92,168,,VENEZIA MURANO BURANO,Cultura,Promuove la libera associazione culturale di artisti ed intellettuali appartenenti ai diversi campi del pensiero teorico creativo.,Dorsoduro 3499 30124 - Venezia,,,Donà Massimo,28-02-92,PG/1992/27750,415209695,94018500275,
725,GRUPPO OASI - SOCIO ASSISTENZIALE,06-10-92,168,,VENEZIA MURANO BURANO,Solidarietà / Promozione sociale,Promuove come stile di vita lideale vegetariano.,San Polo 2199 30125 - Venezia,,,Romieri Cristina,28-02-92,PG/1992/27719,,,0
726,ASSOCIAZIONE CULTURALE LITORALE NORD,06-10-92,168,13-01-14,,Cultura,Promuove lintegrazione tra le persone ed i soggetti portatori di handicap mediante la collaborazione per la realizzazione di lavori manuali.,Campo San Donato 1 c/o Casa Sacro Cuore 30141 - Murano - Venezia,,,Tagliapietra Silvana,28-02-92,PG/1992/27706,415274658,94019820276,
727,ASSOCIAZIONE ITALIANA PER LA RICERCA SUL CANCRO COMITATO VENETO,06-10-92,,,VENEZIA MURANO BURANO,Solidarietà / Promozione sociale,,,,,,,,,,
728,"ASSOCIAZIONE CULTURALE EUROPEA ""CULTURA VENEZIA""",06-10-92,168,,VENEZIA MURANO BURANO,Cultura,Promuove la diffusione della conoscenza dellattività di studio e di ricerca sui tumori.,San Polo 2766 Palazzo Pisani Moretta 30125 - Venezia,,,Ligabue Giancarlo,28-02-92,PG/1992/27778,415289177,,80051890152
729,ASSOCIAZIONE CULTURALE ARZANÀ,06-10-92,168,,VENEZIA MURANO BURANO,Cultura,"Ha come obbiettivo acquisire nuove conoscenze nel mondo dellarte, storia, letteratura, teatro e musica.",Castello 5597 30122 - Venezia,,,Camuffo Giovanni,28-02-92,PG/1992/27808,415220624,94035210270,
730,SOCIETÀ COOPERATIVA VILLA RENATA A R.L.DI SOLIDARIETÀ SOCIALE,06-10-92,168,,LIDO PELLESTRINA,Solidarietà / Promozione sociale,"Si propone come fine di riunire gli appassionati di marineria, storia e mezzi nautici.",San Marco 163 30124 - Venezia,,,Croze Ottavio,28-02-92,PG/1992/27810,415244717,94019560278,
731,GRUPPO PESCA SPORTIVA BURANO,06-10-92,168,,VENEZIA MURANO BURANO,Sport,Ha per finalità ottenere e conservare continuità di occupazione lavorativa alle migliori condizioni economiche.,Via Orsera 4 30126 - Lido - Venezia,,,Stocco Paolo,28-02-92,PG/1992/27791,415268822,,2273620274
732,ASSOCIAZIONE NEW BODY LINE,06-10-92,168,,MARGHERA,Sport,Ha per finalità la promozione della pesca sportiva.,Giudecca 116 30142 - Burano - Venezia,,,Trevisan Antonio,28-02-92,PG/1992/27553,41735132,94004290279,
733,CENTRO SANTA MARIA MATER DOMINI PER LA FORMAZIONE E LA CONSULENZA DELLA COPPIA E DELLA FAMIGLIA,06-10-92,168,,VENEZIA MURANO BURANO,Solidarietà / Promozione sociale,"Promuovere attività sportive per il mantenimento della forma fisica (sauna, massaggi, lampade solari, body building).",Via Rossarol 24 30175 - Marghera - Venezia,,,Cecchinato Valter,28-02-92,PG/1992/27559,41926665,94014410271,928020270
734,ASS. SOCIO-CULTURALE INTERNAZIONALE LIDO COSMO-NATURA,06-10-92,168,,LIDO PELLESTRINA,Cultura,Ha finalità culturali e sociali nonchè la diffusione della conoscenza scientifica.,Santa Croce 2117 30135 - Venezia,,,Forlati Zeno,28-02-92,PG/1992/27883,415240711,94012980275,
735,SOCIETÀ DURI I BANCHI,06-10-92,168,,LIDO PELLESTRINA,Cultura,"Promuove il recupero di fondamentali valori umani, quali lamore per la natura e la valorizzazione della qualità della vita.",Via Lazzaro Mocenigo 15 30126 - Lido - Venezia,,,Volpato Valerio,28-02-92,PG/1992/27862,,94019540270,
736,NOUS VIAGGI CONGRESSI MANIFESTAZIONI SOC.COOP.A R.L.,06-10-92,168,,VENEZIA MURANO BURANO,Cultura,"Promuove e realizza iniziative culturali ed assistenziali idonee a sviluppare la socialità ed il senso civico, con particolare riguardo al concetto di venezianità.",Viale Enrico Dandolo 1 30126 - Lido - Venezia,info@duriibanchi.com,,Danesin Luigi,21-04-92,PG/1992/53951,,94072270278,0
737,ASSOCIAZIONE CULTURALE CULTURA E TEATRO IN MUSICA,06-10-92,168,13-01-14,,Cultura,"Estende tra i soci la conoscenza delle varie situazioni etniche, culturali, tradizionali, religiose e geografiche del nostro Pianeta.",Cannaregio 2805 30121 - Venezia,,,Marchi Giovanna,18-04-92,PG/1992/53493,41722267,2565810278,2565810278
738,ASSOCIAZIONE CULTURALE GIARDINI IN LAGUNA,06-10-92,,,LIDO PELLESTRINA,Cultura,,,,,,,,,,
739,ASSOCIAZIONE NAZIONALE PER LA LOTTA CONTRO L'AIDS,06-10-92,168,31-03-16,VENEZIA MURANO BURANO,Cultura,Promuove manifestazione culturali e scientifiche per la divulgazione della cultura botanica.,Via Lepanto 33/B 30126 - Lido - Venezia,,,Boato Leandro,28-02-92,PG/1992/27919,,,0
740,ASSOCIAZIONE CALCIO BURANO (EX POLISPORTIVA UNION BURANO),06-10-92,,,VENEZIA MURANO BURANO,Sport,,,,,,,,,,
741,OPERA PIA ISTITUTO CILIOTA,06-10-92,168,,VENEZIA MURANO BURANO,Solidarietà / Promozione sociale,Promuove la conoscenza e la pratica del gioco del calcio.,San Martino Destra 897 30142 - Burano - Venezia,,,Novello Vittorio,28-02-92,PG/1992/27914,41730529,0,2932730274
742,UNIONE REGIONALE VENETA DEL CAMPEGGIO - FEDERCAMPEGGIO,06-10-92,168,,MESTRE CARPENEDO,Cultura,Ha finalità educative nel campo religioso ed assistenziale con particolare riguardo nei confronti della gioventù.,San Marco 2876 30124 - Venezia,,,Senigaglia Mario,28-02-92,PG/1992/27576,41704888,538100272,538100272
743,ASSOCIAZIONE NUOVA PALESTRA 2000,06-10-92,168,,VENEZIA MURANO BURANO,Sport,Promuove attività per lo sviluppo della pratica del campeggio e per lassociazionismo ricreativo e culturale fra i campeggiatori.,Via Monte Sabotino 26 30171 - Mestre - Venezia,,,Covolo Luigi,16-04-92,PG/1992/52053,41936866,82014020273,
744,ASSOCIAZIONE INTERNATIONAL CLUB,06-10-92,168,,VENEZIA MURANO BURANO,Sport,Promuove attività sportive e culturali privilegiando il mantenimento della forma fisica.,Cannaregio 5356 - Calle Stella 30121 - Venezia,,,Seno Patrizia,28-02-92,PG/1992/27563,415228636,94018080278,
745,ASSOCIAZIONE SPORTIVA CALIFORNIA,06-10-92,168,,MESTRE CARPENEDO,Sport,Promuove attività sportive privilegiando il mantenimento della forma fisica.,San Marco 4249 30124 - Venezia,,,Pistore Giuseppe,28-02-92,PG/1992/27560,415289830,94017620272,3813670274
746,GRUPPO EVR EQUIPE VENEZIANA DI RICERCA,06-10-92,168,,VENEZIA MURANO BURANO,Cultura,Promuove attività culturali e sportive per il mantenimento della forma fisica.,Viale San Marco 152 30174 - Mestre - Venezia,,,Martinovich Luigi,28-02-92,PG/1992/27557,,90025970279,
747,ASSOCIAZIONE CORO MARMOLADA,06-10-92,168,,VENEZIA MURANO BURANO,Cultura,Promuove la ricerca scientifica e le attività sportive atte al suo conseguimento.,Cannaregio 3774 30121 - Venezia,,,Pozzana Giulio,28-02-92,PG/1992/27894,415208059,94001820276,
748,COMITATO DI ZONA AGESCI VENEZIA/ISOLE,06-10-92,168,,VENEZIA MURANO BURANO,Solidarietà / Promozione sociale,"Promuove la ricerca, la conservazione, lapprendimento e lesecuzione in concerto del canto popolare  e di montagna sia esso veneto, nazionale o straniero.",Santa Croce 353/B 30135 - Venezia,coro@coromarmolada.it - PEC,www.coromarmolada.it,Nervo Giorgio,28-02-92,PG/1992/27892,415223403,94001600272,3154860278
